Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),vehicle_key,demand_target,revenue_target
ACURA,ILX,COMPACT,2.0,4,AS5,Z,196,COMPACT_Z_AS5_medium,4209,143526900.0
ACURA,ILX,COMPACT,2.4,4,M6,Z,221,COMPACT_Z_M6_medium,3750,134625000.0
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,136,COMPACT_Z_AV7_small,4876,155300600.0
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,255,SUV - SMALL_Z_AS6_large,3436,146545400.0
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,244,SUV - SMALL_Z_AS6_large,3090,131788500.0
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,230,MID-SIZE_Z_AS6_large,3067,130807550.0
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,232,MID-SIZE_Z_AS6_large,3504,149445600.0
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,255,MID-SIZE_Z_AS6_xlarge,3078,134046900.0
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,267,MID-SIZE_Z_M6_xlarge,2672,116365600.0
ACURA,TSX,COMPACT,2.4,4,AS5,Z,212,COMPACT_Z_AS5_medium,4000,143600000.0
ACURA,TSX,COMPACT,2.4,4,M6,Z,225,COMPACT_Z_M6_medium,3633,130424700.0
ACURA,TSX,COMPACT,3.5,6,AS5,Z,239,COMPACT_Z_AS5_large,3213,137034450.0
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,193,TWO-SEATER_Z_AM6_medium,1963,88727600.0
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,359,MINICOMPACT_Z_A6_performance,302,21396700.0
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,359,SUBCOMPACT_Z_A6_performance,935,55024750.0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,338,TWO-SEATER_Z_AM7_xlarge,840,51954000.0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,354,TWO-SEATER_Z_M6_xlarge,663,41006550.0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,338,TWO-SEATER_Z_AM7_xlarge,1059,65499150.0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,354,TWO-SEATER_Z_M6_xlarge,689,42614650.0
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,359,MINICOMPACT_Z_A6_performance,427,30252950.0
AUDI,A4,COMPACT,2.0,4,AV8,Z,202,COMPACT_Z_AV8_medium,4398,149971800.0
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,230,COMPACT_Z_AS8_medium,3728,127124800.0
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,214,COMPACT_Z_M6_medium,3943,134456300.0
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,230,SUBCOMPACT_Z_AS8_medium,2955,100765500.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,230,SUBCOMPACT_Z_AS8_medium,3175,108267500.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,214,SUBCOMPACT_Z_M6_medium,3463,118088300.0
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,235,MID-SIZE_Z_AS8_medium,3141,107108100.0
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,251,MID-SIZE_Z_AS8_large,3140,126856000.0
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,217,MID-SIZE_D_AS8_large,3388,133487200.0
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,262,MID-SIZE_Z_AS8_large,2884,116513600.0
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,217,MID-SIZE_D_AS8_large,3388,133487200.0
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,258,MID-SIZE_Z_AS8_large,3453,139501200.0
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,265,MID-SIZE_Z_AS8_xlarge,2676,124969200.0
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,224,MID-SIZE_D_AS8_large,3213,126592200.0
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,258,FULL-SIZE_Z_AS8_large,2516,131838400.0
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,288,FULL-SIZE_Z_AS8_xlarge,1622,95211400.0
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,363,FULL-SIZE_Z_AS8_performance,1077,78244050.0
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,224,FULL-SIZE_D_AS8_large,2197,112925800.0
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,242,STATION WAGON - SMALL_Z_AS8_medium,2580,87978000.0
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,239,SUV - SMALL_Z_AS8_medium,3600,122760000.0
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,258,SUV - SMALL_Z_AS8_large,3310,133724000.0
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,244,SUV - SMALL_D_AS8_large,3498,137821200.0
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,212,SUV - SMALL_Z_AS8_medium,3750,127875000.0
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,304,SUV - STANDARD_Z_AS8_large,2185,114494000.0
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,290,SUV - STANDARD_D_AS8_large,2142,110098800.0
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,336,TWO-SEATER_Z_A7_xlarge,854,50898400.0
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,407,TWO-SEATER_Z_M6_xlarge,632,37667200.0
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,347,TWO-SEATER_Z_A7_performance,1128,74335200.0
