Feature,Importance
Engine Size(L),0.6594359851686757
Vehicle Class_TWO-SEATER,0.08779134018780477
Vehicle Class_MINICOMPACT,0.05597076735473708
Vehicle Class_COMPACT,0.03787111261143578
Cylinders,0.03586603721119427
Vehicle Class_SUV - SMALL,0.02517303954488336
Vehicle Class_MID-SIZE,0.024553341794297294
Fuel Type_X,0.021001035462797604
Vehicle Class_SUBCOMPACT,0.009514991012864423
Vehicle Class_VAN - PASSENGER,0.004764230082802249
Fuel Type_Z,0.0041638612267407525
Fuel Type_E,0.0038324083842523047
Transmission_AS6,0.0024522300443733883
Transmission_AV,0.0022554232802799172
Vehicle Class_FULL-SIZE,0.0020869564871870785
