Feature,Importance
Engine Size(L),0.814130110259756
Vehicle Class_VAN - PASSENGER,0.021075494710039087
Cylinders,0.0163566169484309
Vehicle Class_MID-SIZE,0.014615724734584078
Fuel Type_Z,0.014249354271625691
Vehicle Class_SUV - STANDARD,0.0133249944552249
Transmission_AV,0.009588337939801704
Transmission_AM7,0.00824133484004934
Transmission_AV6,0.008207931034470888
Transmission_AS6,0.006731890659192315
Vehicle Class_COMPACT,0.006041352027152047
Vehicle Class_SUV - SMALL,0.005984812414315746
Transmission_M6,0.005198435258783433
Vehicle Class_PICKUP TRUCK - SMALL,0.004465693839632939
Vehicle Class_FULL-SIZE,0.004454585611543565
