
Feature,Importance
Engine Size(L),0.3708280161004869
Vehicle Class_TWO-SEATER,0.1278777172576424
Vehicle Class_PICKUP TRUCK - STANDARD,0.06987915908183069
Vehicle Class_COMPACT,0.06707785648815474
Vehicle Class_MINICOMPACT,0.0612548048366499
Vehicle Class_VAN - PASSENGER,0.04475604998920466
Cylinders,0.035269820265832426
Vehicle Class_PICKUP TRUCK - SMALL,0.030607527090730183
Fuel Type_E,0.021984167236151295
Vehicle Class_STATION WAGON - SMALL,0.018710439432592058
Vehicle Class_SPECIAL PURPOSE VEHICLE,0.016972135246207998
Vehicle Class_MINIVAN,0.010623118746336643
Vehicle Class_SUBCOMPACT,0.008326663930923113
Vehicle Class_SUV - STANDARD,0.00808370648800245
Transmission_A4,0.008017722223164329
